Date,Importer,LoadingPort,DeclaredPKR,industryCategory,catalog,stateOfOrigin,batchId,TotalUSD,exporterCountryCode,UnitUSDkg,database,Exporter,productTag,importerOrig,id,ProductDesc,countryOfOriginCode,repNum,ExporterID,Destination,GrossKg,DestCode,exporterOrig,HSCode,HS_Desc,Qty,qtyUnitPrice,QtyUnit,countryOfOrigin,TradeID,stateOfDestination,primary,importerCountryCode,HSCode_str,hs4,hs6,Mode
2026-05-31,AL TAYEB LISLA ISTALAKIYA AND BUSINESS SPC,IPAE,12100.0,0205594235,exports,Asia,202606241107,12093.85,PAK,4.9975,pakistan,KATCO,['CHILLED BEEF'],AL TAYEB LISLA ISTALAKIYA & BUSINESS SPC,6a269e098d7234c6a94b255b,FRESH CHILLED BEEF AS PER INVOICE,PAK,1,00787354,United Arab Emirates,2420.0,ARE,KATCO,02011000,"Carcases or half-carcases of bovine animals, fresh or chilled",2420.0,4.9975,KGS,Pakistan,d3a036fd99f439a69921859eff296d87,Asia,1,,02011000,0201,020110,Air
2026-05-31,GULF BUTCHERY DOHA QATAR,LPAE,28993.0,0205594235,exports,Asia,202606241107,28978.02,PAK,6.4467,pakistan,SYED TRADERS,['CHILLED BEEF'],GULF BUTCHERY DOHA QATAR,6a269e098d7234c6a94b2562,CHILLED BEEF. AS PER INVOICE.,PAK,1,01240606,Qatar,4495.0,QAT,SYED TRADERS,02011000,"Carcases or half-carcases of bovine animals, fresh or chilled",4495.0,6.4467,KGS,Pakistan,9164d4a61c78ab1f3b22cb23d95d213d,Asia,1,QAT,02011000,0201,020110,Air
2026-05-31,ALAJM TRADING EST,LPAE,19240.0,0205594235,exports,Asia,202606241107,19230.22,PAK,5.1974,pakistan,MUBARAK ASSOCIATES,['CHILLED BEEF'],ALAJM TRADING EST,6a269e098d7234c6a94b2563,FRESH CHILLED BEEF AS PER INVOICE,PAK,1,07195413,Saudi Arabia,3700.0,SAU,MUBARAK ASSOCIATES,02011000,"Carcases or half-carcases of bovine animals, fresh or chilled",3700.0,5.1974,KGS,Pakistan,c8d2d6f3b1bb0a0126579f747ba11e41,Asia,1,,02011000,0201,020110,Air
2026-05-31,ABQ AL NAHR FOUNDATION,IPAE,17750.0,0205594235,exports,Asia,202606241107,17741.38,PAK,5.1574,pakistan,M S KAT CO,['CHILLED BEEF'],ABQ AL NAHR FOUNDATION,6a269e098d7234c6a94b2567,CHILLED BEEF MEAT AS PER INV,PAK,1,09909447,Saudi Arabia,3440.0,SAU,M/S KAT CO.,02011000,"Carcases or half-carcases of bovine animals, fresh or chilled",3440.0,5.1574,KGS,Pakistan,90746e082600dee8334f26b55366e434,Asia,1,SAU,02011000,0201,020110,Air
2026-05-31,COMPANY ZADNA FOR TRADING,LPAE,20265.0,0205594235,exports,Asia,202606241107,20254.7,PAK,5.2473,pakistan,M S FOODEX,['CHILLED BEEF'],COMPANY ZADNA FOR TRADING,6a269e098d7234c6a94b2568,FRESH CHILLED BEEF MIX AS PER INVOICE,PAK,1,01759905,Saudi Arabia,3860.0,SAU,M/S FOODEX,02011000,"Carcases or half-carcases of bovine animals, fresh or chilled",3860.0,5.2473,KGS,Pakistan,4c4ab05d360bef84e0e317778188b49e,Asia,1,SAU,02011000,0201,020110,Air
2026-05-31,COMPANY ZADNA FOR TRADING,LPAE,30303.0,0205594235,exports,Asia,202606241107,30287.1,PAK,5.2673,pakistan,M S FOODEX,['BEEF MEAT'],COMPANY ZADNA FOR TRADING,6a269e098d7234c6a94b2558,FRESH CHILLED BEEF MEAT AS PER INVOICE,PAK,1,01759905,Saudi Arabia,5750.0,SAU,M/S FOODEX,02011000,"Carcases or half-carcases of bovine animals, fresh or chilled",5750.0,5.2673,KGS,Pakistan,79637c1d244129e951c06942ea744c0c,Asia,1,SAU,02011000,0201,020110,Air
2026-05-31,LUXURY MEAT TRADING L L C,KPAE,22275.0,0205594235,exports,Asia,202606241107,22263.68,PAK,4.9975,pakistan,AL AIEN GROUP,['BEEF MEAT'],LUXURY MEAT TRADING L.L.C,6a269e098d7234c6a94b2569,FRESH CHILLED BEEF MEAT MIX BONE,PAK,1,02307001,United Arab Emirates,4455.0,ARE,AL-AIEN GROUP.,02011000,"Carcases or half-carcases of bovine animals, fresh or chilled",4455.0,4.9975,KGS,Pakistan,ea7492c34c171b2060834b5bcece9a90,Asia,1,,02011000,0201,020110,Air
2026-05-31,AL MAZHAR FOODSTUFF TRADING LLC,LPAE,12161.0,0205594235,exports,Asia,202606241107,12154.62,PAK,5.6271,pakistan,AL REHMAN MEAT PROCESSORS PVT LIMITED,['CHILLED BEEF'],AL MAZHAR FOODSTUFF TRADING LLC,6a269e098d7234c6a94b2556,CHILLED BEEF MIX AS PER INV,PAK,1,03053355,United Arab Emirates,2160.0,ARE,AL REHMAN MEAT PROCESSORS (PVT) LIMITED,02011000,"Carcases or half-carcases of bovine animals, fresh or chilled",2160.0,5.6271,KGS,Pakistan,74b40ffd2d252159cfa3ebc6cdca2981,Asia,1,ARE,02011000,0201,020110,Air
2026-05-31,AL DABBAGH MEAT AND SKIN TRADING LLC,KPAE,644.0,0205594235,exports,Asia,202606241107,643.17,PAK,6.4967,pakistan,M S P K LIVESTOCK AND MEAT CO PVT LTD,['CHILLED ORGAN'],AL DABBAGH MEAT AND SKIN TRADING LLC,6a269e098d7234c6a94b2639,FRESH CHILLED ORGANS,PAK,1,01006675,United Arab Emirates,99.0,ARE,M/S P.K. LIVESTOCK & MEAT CO. (PVT) LTD.,02012000,"Fresh or chilled bovine cuts, with bone in (excluding carcases and 1/2 carcases)",99.0,6.4967,KGS,Pakistan,27465711c80750fe7c99b35e80c4c00e,Asia,1,ARE,02012000,0201,020120,Air
2026-05-31,AL DABBAGH MEAT AND SKIN TRADING LLC,KPAE,28314.0,0205594235,exports,Asia,202606241107,28299.61,PAK,6.4967,pakistan,M S P K LIVESTOCK AND MEAT CO PVT LTD,['CHILLED BEEF MEAT MIX'],AL DABBAGH MEAT AND SKIN TRADING LLC,6a269e098d7234c6a94b255c,FRESH CHILLED BEEF MEAT MIX WITH BONE,PAK,1,01006675,United Arab Emirates,4356.0,ARE,M/S P.K. LIVESTOCK & MEAT CO. (PVT) LTD.,02011000,"Carcases or half-carcases of bovine animals, fresh or chilled",4356.0,6.4967,KGS,Pakistan,79861a6814a96a185e242b17f491129e,Asia,1,ARE,02011000,0201,020110,Air
2026-05-31,RENO INTERNATIONAL TRADING LLC,SPEF,13908.0,0205594235,exports,Asia,202606241107,13900.93,PAK,5.6971,pakistan,M S FOODEX,['MIX BEEF'],RENO INTERNATIONAL TRADING LLC,6a269e098d7234c6a94b2557,FRESH CHILLED BEEF AS PER INV,PAK,1,01759905,United Arab Emirates,2440.0,ARE,M/S FOODEX,02011000,"Carcases or half-carcases of bovine animals, fresh or chilled",2440.0,5.6971,KGS,Pakistan,9600ddd5a628255a9dcfb1c839f5fe82,Asia,1,ARE,02011000,0201,020110,Sea
