plan_id,phase,day_no,ramp_ingredient,forage_type,wt_min,wt_max,target_adg,Single Bag Wanda (W MGF),Chari,Wheat Straw (Toori),Limestone,Maize Silage,Potato,Sodium bicarbonate (Meetha Soda),Monensin,est_cost_per_head_per_day
max-potato,ADAPTATION,1,,chari+silage,80,84,0.24,1.347,2.668,0.3,0.001,0,0,0,0,131
max-potato,ADAPTATION,2,,chari+silage,80,84,0.43,1.93,3,0.365,0.002,0.556,0,0,0,187
max-potato,ADAPTATION,3,,chari+silage,80,84,0.24,1.34,2.922,0.3,0.001,0,0,0,0,133
max-potato,ADAPTATION,4,,chari+silage,80,84,0.26,1.495,1.247,0.7,0,0,0,0,0,142
max-potato,ADAPTATION,5,,chari+silage,80,84,0.33,1.649,2.324,0.6,0,0,0,0,0,160
max-potato,ADAPTATION,6,,chari+silage,80,84,0.43,1.93,3,0.365,0.002,0.556,0,0,0,187
max-potato,ADAPTATION,7,,chari+silage,80,84,0.43,1.93,3,0.365,0.002,0.556,0,0,0,187
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,80,84,0.43,1.139,3.0,0.35,0.003,2.546,0.674,0.012,0.0001,175
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,80,84,0.43,1.139,3.0,0.35,0.003,2.047,1.348,0.012,0.0001,175
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,80,84,0.43,1.139,3.0,0.35,0.003,1.548,2.023,0.012,0.0001,175
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,80,84,0.43,1.139,3.0,0.35,0.003,1.049,2.697,0.012,0.0001,174
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,80,84,0.43,1.139,3.0,0.35,0.003,0.55,3.371,0.012,0.0001,174
max-potato,STEADY,,,chari+silage,80,84,0.43,1.139,3.0,0.35,0.003,0.55,3.371,0.012,0.0001,174
max-potato,ADAPTATION,1,,chari+silage,85,89,0.46,2.047,3,0.364,0.002,0.814,0,0,0,200
max-potato,ADAPTATION,2,,chari+silage,85,89,0.2,1.259,2.643,0.3,0.001,0,0,0,0,124
max-potato,ADAPTATION,3,,chari+silage,85,89,0.27,1.422,3.202,0.3,0.001,0,0,0,0,141
max-potato,ADAPTATION,4,,chari+silage,85,89,0.28,1.586,1.558,0.7,0,0,0,0,0,151
max-potato,ADAPTATION,5,,chari+silage,85,89,0.36,1.75,2.668,0.6,0,0,0,0,0,170
max-potato,ADAPTATION,6,,chari+silage,85,89,0.46,2.047,3,0.364,0.002,0.814,0,0,0,200
max-potato,ADAPTATION,7,,chari+silage,85,89,0.46,2.047,3,0.364,0.002,0.814,0,0,0,200
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,85,89,0.46,1.199,3.0,0.35,0.003,2.942,0.723,0.013,0.0001,187
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,85,89,0.46,1.199,3.0,0.35,0.003,2.407,1.446,0.013,0.0001,187
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,85,89,0.46,1.199,3.0,0.35,0.003,1.872,2.169,0.013,0.0001,186
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,85,89,0.46,1.199,3.0,0.35,0.003,1.337,2.892,0.013,0.0001,186
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,85,89,0.46,1.199,3.0,0.35,0.003,0.802,3.615,0.013,0.0001,185
max-potato,STEADY,,,chari+silage,85,89,0.46,1.199,3.0,0.35,0.003,0.802,3.615,0.013,0.0001,185
max-potato,ADAPTATION,1,,chari+silage,90,94,0.5,2.164,3,0.363,0.003,1.073,0,0,0,212
max-potato,ADAPTATION,2,,chari+silage,90,94,0.22,1.331,2.891,0.3,0.001,0,0,0,0,132
max-potato,ADAPTATION,3,,chari+silage,90,94,0.23,1.51,0.859,0.78,0,0,0,0,0,142
max-potato,ADAPTATION,4,,chari+silage,90,94,0.31,1.677,1.87,0.7,0,0,0,0,0,161
max-potato,ADAPTATION,5,,chari+silage,90,94,0.39,1.851,3.012,0.6,0,0,0,0,0,180
max-potato,ADAPTATION,6,,chari+silage,90,94,0.5,2.164,3,0.363,0.003,1.073,0,0,0,212
max-potato,ADAPTATION,7,,chari+silage,90,94,0.5,2.164,3,0.363,0.003,1.073,0,0,0,212
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,90,94,0.5,1.258,3.0,0.35,0.004,3.339,0.772,0.014,0.0001,199
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,90,94,0.5,1.258,3.0,0.35,0.004,2.768,1.544,0.014,0.0001,198
