plan_id,phase,day_no,forage_type,wt_min,wt_max,target_adg,Steady State Wanda,Chari,Maize Silage,Wheat Straw (Toori),Cottonseed Cake,Limestone / Minerals,Urea,est_cost_per_head_per_day
conservative,STEADY,,silage,120,124,0.91,2.187,0,3.335,0.35,0.011,0.0,0,225
conservative,STEADY,,silage,125,129,0.92,2.265,0,3.529,0.35,0.01,0.0,0,234
conservative,STEADY,,silage,130,134,0.93,2.342,0,3.721,0.35,0.009,0.0,0,243
conservative,STEADY,,silage,135,139,0.95,2.418,0,3.912,0.35,0.009,0.0,0,251
conservative,STEADY,,silage,140,144,0.96,2.495,0,4.101,0.35,0.008,0.0,0,260
conservative,STEADY,,silage,145,149,0.97,2.57,0,4.29,0.35,0.007,0.0,0,268
conservative,STEADY,,silage,150,154,0.98,2.645,0,4.477,0.35,0.006,0.0,0,277
conservative,STEADY,,silage,155,159,0.99,2.72,0,4.663,0.35,0.005,0.0,0,285
conservative,STEADY,,silage,160,164,1.0,2.794,0,4.847,0.35,0.004,0.0,0,293
conservative,STEADY,,silage,165,169,1.0,2.867,0,5.03,0.35,0.003,0.0,0,301
conservative,STEADY,,silage,170,174,1.01,2.94,0,5.212,0.35,0.003,0.0,0,310
conservative,STEADY,,silage,175,179,1.02,3.013,0,5.39,0.35,0.002,0.0,0,318
conservative,STEADY,,silage,180,184,1.03,3.085,0,5.555,0.35,0.004,0.0,0,326
conservative,STEADY,,silage,185,189,1.03,3.157,0,5.719,0.35,0.006,0.0,0,334
conservative,STEADY,,silage,190,194,1.04,3.229,0,5.882,0.35,0.008,0.0,0,342
conservative,STEADY,,silage,195,199,1.05,3.3,0,6.044,0.35,0.01,0.0,0,350
conservative,STEADY,,silage,200,204,1.05,3.37,0,6.205,0.35,0.012,0.0,0,358
conservative,STEADY,,silage,205,209,1.06,3.44,0,6.362,0.35,0.015,0.0,0,366
conservative,STEADY,,silage,210,214,1.06,3.51,0,6.518,0.35,0.017,0.0,0,374
conservative,STEADY,,silage,215,219,1.07,3.579,0,6.673,0.35,0.019,0.0,0,381
conservative,STEADY,,silage,220,224,1.07,3.648,0,6.827,0.35,0.021,0.0,0,389
